Sample,,Creatinine Results,,Creatinine-d3 Results,,Cortisol Results,,Choline-d9 Results,,Choline Results,,Phenylalanine Results,,TMAO-d9 Results,,F-Phe Results,,F-Tyr Results,,Carnitine Results,,Carnitine-d3 Results,,Creatine-d3 Results,,Creatine Results,,Threonine Results,,GABA-d6 Results,,MeHis-d3 Results,,Hisitdine Results,,His-15N Results,,Arginine Results,
Name,Data File,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
Blank_1,JOQT31508_Blank_1b.d,2.064,139820,2.048,5444035,1.849,14915,2.826,36242,2.876,34557,3.853,25495340,3.406,894,3.588,659,4.880,1099,6.619,513235,6.553,58228,6.702,46891879,6.735,58686,6.950,259,7.016,3939,8.109,63249,8.805,6824,8.805,138685,9.318,6328
QC-Blank,JOQT31508_QC-Blankb.d,2.038,1161339,2.054,25114451,2.766,23448603,2.882,156698543,2.882,9801592,3.098,1054385,3.363,24457462,3.661,1923808,4.770,370316,6.542,2286961,6.526,155171373,6.675,37288777,6.675,524746,,,6.758,139072,7.950,5931984,8.695,6097923,8.695,3191646,9.275,2675062
QC-Pooled_1,JOQT31508_QC-Pooledb.d,2.034,10993597,2.050,21750001,2.763,26205740,2.878,119096283,2.895,42638193,3.856,10840368,3.375,22166738,3.657,1494261,4.783,378236,6.539,2385641,6.539,158579114,6.688,40023950,6.671,2262574,,,6.770,117551,7.979,4253537,8.725,414552,8.725,897070,9.288,268186
Spike_Blank-1,JOQT31508_Spike_Blank-1b.d,2.047,577754,2.047,74804397,2.759,37652629,2.875,171928740,2.875,44009,2.543,695263,3.355,9739414,3.670,1495557,4.812,455362,6.651,499050,6.601,186142584,6.733,36328534,6.783,57618,,,6.833,136246,8.058,4844451,8.837,40091,8.837,947212,9.400,5566
Spike_Blank-2,JOQT31508_Spike_Blank-2b.d,2.049,641881,2.049,67923091,2.761,34533563,2.877,152250709,2.877,99145,2.480,622823,3.324,6144956,3.672,787896,4.815,222610,6.653,508323,6.604,174830228,6.736,37555789,6.521,35959,,,6.835,76805,8.044,2989835,8.790,12681,8.790,689584,9.336,5473
Blank_2,JOQT31508_Blank_2b.d,,,2.040,4875318,1.809,5221,2.852,64186,2.885,37495,3.846,7449541,3.481,2595,3.597,573,4.011,2426,6.611,501387,6.562,91594,6.694,44437062,6.727,54794,6.131,209,7.688,3203,8.003,26064,8.814,20485,8.781,187354,9.278,19280
12-B,JOQT31508_1b.d,2.041,3068887,2.058,21182052,2.754,26774887,2.886,128663199,2.886,26407691,3.035,280306,3.217,843193,3.664,1446083,4.791,210549,6.546,6757794,6.546,145446962,6.679,31441048,6.679,1349084,,,6.778,87122,7.954,4954015,8.669,20489647,8.649,3267147,9.262,7300168
12-1,JOQT31508_2b.d,2.021,5107978,2.037,10696688,2.783,12904908,2.899,68726028,2.899,21457900,,,3.412,11745173,3.660,1323668,4.787,396269,6.559,3767810,6.559,169505343,6.691,33020338,6.691,3302268,,,6.791,111681,8.000,5271678,8.728,810921,8.728,926075,9.275,43398
12-2,JOQT31508_3b.d,2.012,2126536,2.028,7366571,2.790,10984794,2.906,60571522,2.906,10737100,,,3.370,12415795,3.651,1167922,4.778,268939,6.550,2240114,6.550,165171446,6.682,32874804,6.682,1610198,,,6.782,109575,8.007,4905715,8.736,321752,8.736,830171,9.266,125327
12-3,JOQT31508_4b.d,2.021,3877822,2.038,12206716,2.783,13446838,2.899,82554222,2.899,12162340,3.031,865806,3.363,11525745,3.661,1189293,4.787,260214,6.576,1937192,6.559,161873362,6.692,37918359,6.692,1033986,,,6.791,104817,8.000,4831253,8.729,958742,8.729,965549,9.275,60910
14-B,JOQT31508_5b.d,2.077,429245,2.044,26576987,2.756,14746296,2.872,134694006,2.888,529018,3.633,457556,3.368,3112713,3.733,1994363,4.776,517010,6.598,416473,6.565,146406316,6.697,37511735,6.730,85004,,,6.780,97331,8.006,5224241,8.734,103903,8.734,1776414,9.264,95085
14-1,JOQT31508_6b.d,2.028,13168408,2.045,28912123,2.757,30772811,2.889,129737882,2.889,47763660,3.800,5645336,3.436,12914591,3.651,1317677,4.794,392436,6.566,3751823,6.549,148104865,6.698,35608103,6.682,2183058,,,6.781,103433,7.990,3928608,8.719,847384,8.719,1114796,9.265,1275001
14-2,JOQT31508_7b.d,2.024,16517504,2.041,28038301,2.753,28093675,2.885,114315638,2.885,38086759,3.779,5619482,3.349,11529805,3.664,1303043,4.806,443005,6.562,1531713,6.562,141090843,6.694,29377680,6.678,3195405,,,6.777,114577,7.986,3636169,8.715,433012,8.715,958710,9.261,468189
14-3,JOQT31508_8b.d,2.028,18399153,2.045,26955984,2.757,25801087,2.889,119688730,2.889,35917835,3.867,6085910,3.370,13173329,3.651,1261616,4.794,416745,6.550,1077365,6.550,135032086,6.682,29958399,6.682,1820695,,,6.781,95927,8.007,3330960,8.719,523689,8.719,867821,9.249,757415
QC-Blank,JOQT31508_QC-Blank_1b.d,2.041,870237,2.057,20422944,2.753,18688891,2.885,112590990,2.885,6271203,3.780,1048240,3.349,6819322,3.746,1984875,4.790,335880,6.562,1822047,6.545,137138363,6.678,28698991,6.678,411811,,,6.777,83147,7.986,4036117,8.698,4235147,8.698,2293546,9.261,2301834
Blank_2,JOQT31508_Blank_2_1b.d,2.076,501549,2.043,3375865,3.584,7134,2.871,64088,2.888,45125,3.849,2577536,3.302,5034,,,4.892,859,6.598,442671,6.548,127552,6.681,36647523,6.714,155295,,,5.886,158,8.039,15140,8.817,15080,8.767,151132,9.248,15069
15-B,JOQT31508_9b.d,2.061,499365,2.044,21389474,2.757,14636946,2.889,118454251,2.889,963705,3.817,1976008,3.369,9649497,3.734,2347590,4.794,469292,6.582,463812,6.549,139352697,6.682,25893551,6.698,83899,7.328,209,6.764,75300,8.007,5016465,8.735,71836,8.735,1078976,9.265,132141
15-1,JOQT31508_10b.d,2.029,32197454,2.045,46480090,2.774,30104878,2.890,106630384,2.890,92161875,3.801,7158779,3.370,3043331,3.652,1124740,4.795,326180,6.567,1730837,6.567,141334420,6.699,35472708,6.683,1579955,,,6.782,71117,8.024,2519634,8.736,204341,8.736,502494,9.250,30488
15-2,JOQT31508_11b.d,2.028,37154007,2.044,46957632,2.757,35589797,2.873,115278895,2.889,92995098,2.574,509497,3.419,13462174,3.651,1060409,4.810,322190,6.566,1401054,6.549,142469807,6.682,36839866,6.682,1567770,,,6.781,67367,8.023,3123265,8.735,193987,8.735,663274,9.265,18200
15-3,JOQT31508_12b.d,2.030,39897222,2.047,38933724,2.759,31434463,2.875,97101575,2.875,74316451,3.057,296251,3.438,5975557,3.653,1010180,4.796,296661,6.552,2543518,6.552,137955554,6.684,34945955,6.684,2631760,,,6.784,65066,8.026,2504805,8.738,136719,8.754,520855,9.251,22217
16-B,JOQT31508_13b.d,2.051,484928,2.051,22501290,2.763,20349973,2.879,129641868,2.879,2570770,3.641,2315662,3.442,3447837,3.658,1510988,4.800,511650,6.573,796201,6.573,150443762,6.688,29275724,6.688,291125,,,6.788,111220,7.997,5057616,8.726,166203,8.726,1513665,9.255,251735
16-1,JOQT31508_14b.d,2.031,6796982,2.048,31630043,2.760,22196969,2.892,122691242,2.892,20600125,3.787,3344311,3.356,12295978,3.654,1098147,4.797,330873,6.552,1330908,6.552,133416437,6.685,35814785,6.685,761321,,,6.784,83804,8.026,2588798,8.755,129988,8.738,599215,9.268,146528
16-2,JOQT31508_15b.d,2.031,11890300,2.047,27893558,2.759,29014663,2.875,115989842,2.875,27894964,2.594,276322,3.372,13119265,3.654,1125505,4.796,361268,6.552,2076823,6.552,135732740,6.684,33774848,6.684,2967891,,,6.784,96232,8.026,2913966,8.738,200632,8.738,738338,9.268,146005
16-3,JOQT31508_16b.d,2.030,6339661,2.046,24858981,2.758,28494214,2.891,124247373,2.891,17200298,3.785,3488762,3.371,13044091,3.653,1145406,4.796,348036,6.551,2514148,6.551,134884741,6.684,30527436,6.684,764373,,,6.783,94980,8.008,2402699,8.754,71038,8.754,672101,9.267,42860
QC-Pooled_1,JOQT31508_QC-Pooled_2b.d,2.031,10068103,2.048,19501908,2.760,21402389,2.892,85441850,2.892,28443419,3.787,4062776,3.373,12490565,3.654,1119541,4.797,348399,6.552,1994999,6.552,141383240,6.685,31656433,6.685,1916749,,,6.784,86816,8.026,3083446,8.739,344521,8.739,703400,9.252,209283
Blank_1,JOQT31508_Blank_1_1b.d,2.034,768535,2.034,54883599,2.763,34439994,2.879,142577885,2.879,43350,2.498,356774,3.310,9795987,3.657,1301475,4.783,369574,6.605,463921,6.556,164907791,6.688,34315569,6.738,75745,,,6.787,130190,8.013,3980657,8.742,36077,8.742,801606,9.288,12502
