Sample,,F-Tyr Results,,Cl-Tyr Results,,F-Phe Results,,Myristic Acid d27 Results,,Stearic Acid d35 Results,
Name,Data File,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
Blank_1,JOQT31508_Blank_1a.d,1.601,6257,1.742,14876,1.858,12230,8.309,439,15.490,13968677
QC-Blank,JOQT31508_QC-Blanka.d,1.820,57155,1.679,485837,2.300,97849,7.974,2661478,15.121,11684537
QC-Pooled_1,JOQT31508_QC-Pooleda.d,1.801,335602,1.793,425444,2.306,1900946,7.913,2420671,15.011,7921940
Spike_Blank-1,JOQT31508_Spike_Blank-1a.d,1.796,1490233,1.805,1481143,1.829,2773884,7.892,3079483,14.965,10198839
Spike_Blank-2,JOQT31508_Spike_Blank-2a.d,1.795,772192,1.804,752936,1.829,1556388,7.891,2807524,14.964,8818972
Blank_2,JOQT31508_Blank_2a.d,1.849,1539,1.750,2698,1.725,9230,7.862,1035,14.976,8971095
12-B,JOQT31508_1a.d,1.830,188334,1.681,1835112,2.302,438108,7.901,2697948,14.982,10954556
12-1,JOQT31508_2a.d,1.793,507183,1.785,652061,2.298,497461,7.905,3550746,14.986,13336980
12-2,JOQT31508_3a.d,1.794,371234,1.794,513918,2.307,8233509,7.889,3190960,14.970,10449730
12-3,JOQT31508_4a.d,1.798,366938,1.798,353901,2.303,5046827,7.877,3028273,14.950,9281789
14-B,JOQT31508_5a.d,1.812,26803,1.812,51268,1.829,185761,7.883,3454542,14.956,10703580
14-1,JOQT31508_6a.d,1.801,423062,1.793,386097,1.868,1168772,7.889,3258800,14.970,9953791
14-2,JOQT31508_7a.d,1.800,346881,1.792,461596,1.875,1180495,7.904,3347493,14.985,11271520
14-3,JOQT31508_8a.d,1.801,334182,1.793,418839,1.884,1066287,7.905,3425922,14.970,11903049
QC-Blank,JOQT31508_QC-Blank_1a.d,1.818,55854,1.677,593905,2.307,116651,7.889,2661348,14.954,11026586
Blank_2,JOQT31508_Blank_2_1a.d,2.107,5656,1.751,4601,1.726,16539,8.327,165,14.953,9302649
15-B,JOQT31508_9a.d,1.817,32242,1.817,58787,1.825,207327,7.887,3374123,14.968,10043127
15-1,JOQT31508_10a.d,1.803,240221,1.794,260273,1.877,1031116,7.890,4378299,14.979,14934684
15-2,JOQT31508_11a.d,1.797,187251,1.797,261410,1.888,1060371,7.901,4059489,14.982,10174502
15-3,JOQT31508_12a.d,1.804,171222,1.796,242562,1.887,970563,7.891,3814042,14.956,11877051
16-B,JOQT31508_13a.d,1.800,73523,1.808,114624,1.833,303335,7.879,3712965,14.952,9340791
16-1,JOQT31508_14a.d,1.794,345929,1.786,522623,1.844,967771,7.890,2929454,14.954,9881614
16-2,JOQT31508_15a.d,1.795,417748,1.795,475829,1.845,839075,7.899,3186056,14.972,10350997
16-3,JOQT31508_16a.d,1.793,300541,1.801,313827,1.851,766072,7.897,3080634,14.978,11681098
QC-Pooled_1,JOQT31508_QC-Pooled_2a.d,1.795,327561,1.795,392899,2.300,1856011,7.891,2566017,14.964,7628144
Blank_1,JOQT31508_Blank_1_1a.d,1.794,1517665,1.803,1519090,1.827,2964369,7.882,3314635,14.946,10412814
