Sample,,Stearic Acid d35 Results,,Myristic Acid d27 Results,,F-Phe Results,,Cl-Tyr Results,,F-Tyr Results,
Name,Data File,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
Blank_1,JOQT31508_Blank_1c.d,0.558,24043258,,,2.744,1413,5.294,3938,5.708,1038
QC-Blank,JOQT31508_QC-Blankc.d,0.555,8054575,0.572,325608,3.669,10129148,4.431,8907197,4.828,2397655
QC-Pooled_1,JOQT31508_QC-Pooledc.d,0.555,3526070,0.571,230972,3.652,10074338,4.430,3362317,4.794,2105256
Spike_Blank-1,JOQT31508_Spike_Blank-1c.d,0.572,21175590,0.589,1237983,3.652,12209560,4.447,3469023,4.812,2285247
Spike_Blank-2,JOQT31508_Spike_Blank-2c.d,0.560,22856401,0.576,1023326,3.657,5846486,4.452,1769906,4.800,1125253
Blank_2,JOQT31508_Blank_2c.d,0.574,22406713,0.707,625,5.278,0,4.599,1173,4.764,28500
12-B,JOQT31508_1c.d,0.562,5080619,0.579,197243,3.659,11275472,4.421,14680828,4.785,1953677
12-1,JOQT31508_2c.d,0.565,1933863,0.582,116655,3.645,10202045,4.407,4074981,4.788,2446721
12-2,JOQT31508_3c.d,0.561,3010569,0.578,212335,3.658,10727124,4.404,4242444,4.801,2045607
12-3,JOQT31508_4c.d,0.561,2799055,0.578,139394,3.658,9713956,4.420,4183837,4.801,2008885
14-B,JOQT31508_5c.d,0.566,3429740,0.566,158664,3.663,11711172,4.425,22405290,4.789,2606812
14-1,JOQT31508_6c.d,0.564,2982837,0.580,204663,3.661,10087421,4.406,4072868,4.804,2414622
14-2,JOQT31508_7c.d,0.570,2114674,0.570,174867,3.650,9859715,4.412,4602567,4.793,2386221
14-3,JOQT31508_8c.d,0.568,2342461,0.568,172204,3.648,9848822,4.394,3954969,4.791,2138318
QC-Blank,JOQT31508_QC-Blank_1c.d,0.561,6386454,0.578,239337,3.642,10798091,4.420,18745549,4.784,2379589
Blank_2,JOQT31508_Blank_2_1c.d,0.564,19449909,,,5.532,37042,3.794,10602,,
15-B,JOQT31508_9c.d,0.559,4036671,0.575,282248,3.706,17857555,4.451,21203716,4.799,3622717
15-1,JOQT31508_10c.d,0.550,4594026,0.567,300695,3.647,9644766,4.393,5279101,4.790,2049052
15-2,JOQT31508_11c.d,0.564,9719783,0.581,809615,3.645,9428876,4.407,4330652,4.804,2101254
15-3,JOQT31508_12c.d,0.566,11549161,0.582,512160,3.646,9469649,4.408,4147723,4.805,2056459
16-B,JOQT31508_13c.d,0.562,12478686,0.579,296767,3.643,11619014,4.421,20450864,4.802,3174295
16-1,JOQT31508_14c.d,0.565,3413381,0.565,218183,3.646,9454407,4.407,4859919,4.805,2143132
16-2,JOQT31508_15c.d,0.571,4925163,0.571,345621,3.652,10248964,4.397,5343377,4.794,2258805
16-3,JOQT31508_16c.d,0.571,4667500,0.571,376114,3.651,9270678,4.413,5163164,4.810,1845202
QC-Pooled_1,JOQT31508_QC-Pooled_2c.d,0.560,3318568,0.576,241846,3.657,10348927,4.402,5102311,4.799,2339192
Blank_1,JOQT31508_Blank_1_1c.d,0.558,22113313,0.574,1407400,3.655,13454080,4.450,4012014,4.797,2462200
